,0,1
140,[ 10.77414038 106.65997776  -1.12849568  -0.50256255],[ 10.77408335 106.66013313  -1.12864762  -0.50297318]
141,[ 10.7741155  106.66005035   1.19991252  -0.28913493],[ 10.77485901 106.66033062   1.20005175  -0.28893563]
142,[ 10.77412826 106.65995807   0.33487417  -1.14806448],[ 10.77388681 106.6601613    0.33429185  -1.14771616]
143,[ 10.77421926 106.65993161   0.80706064   0.63091899],[ 10.77409008 106.65989171   0.80725789   0.6311672 ]
144,[ 10.77403195 106.65997836   0.43976422   0.95579808],[ 10.77410881 106.66055434   0.4390885    0.95618282]
145,[ 10.77403171 106.65984476  -0.34685173   1.22183041],[ 10.77362526 106.65996076  -0.34655466   1.22182789]
146,[ 10.77370074 106.65975557  -0.94631631  -0.81673335],[ 10.77372114 106.65993238  -0.9469338   -0.81693668]
147,[ 10.77378045 106.65990941  -0.11564229   1.25876995],[ 10.77389104 106.66038812  -0.11562465   1.25835886]
148,[ 10.77374925 106.6598677   -0.2923427   -1.23062229],[ 10.77345455 106.65944136  -0.29307312  -1.23105756]
149,[ 10.77382872 106.65969925   0.14017145  -1.17543649],[ 10.77377723 106.65966012   0.14027433  -1.1747355 ]
150,[1.07736545e+01 1.06659873e+02 1.00290522e-01 1.15357703e+00],[1.07735963e+01 1.06659388e+02 1.00464232e-01 1.15356975e+00]
151,[ 10.77373779 106.65952422  -1.0820852   -0.52697936],[ 10.77341435 106.65936129  -1.08207554  -0.52645256]
152,[ 10.77365806 106.65974955  -1.25667705  -0.41551278],[ 10.77352005 106.65972798  -1.2565277   -0.41560423]
153,[ 10.77348281 106.65949597   0.63457266   1.22642566],[ 10.77341131 106.65923381   0.63424196   1.22609701]
154,[ 10.7734668  106.65952081  -1.0867234    0.81943094],[ 10.77421077 106.65894871  -1.0864555    0.81915306]
155,[ 10.77353501 106.65944283  -1.30373698  -0.29084897],[ 10.77345371 106.65935173  -1.3035015   -0.29055164]
156,[ 10.77341705 106.65939909  -1.23413265  -0.38378275],[ 10.77339924 106.65957506  -1.23453443  -0.38360207]
157,[ 10.77323854 106.65933134   0.20572065   1.28140279],[ 10.77326853 106.65944525   0.20537665   1.28109099]
158,[ 10.77339134 106.6591685    0.96755639  -0.92350974],[ 10.77359028 106.65939654   0.96801935  -0.92342516]
159,[ 10.77322418 106.65916017  -0.45050794   1.16402   ],[ 10.77346708 106.65943503  -0.45040839   1.1642114 ]
160,[ 10.77338586 106.65934328   1.04911041  -0.55579846],[ 10.77332569 106.65903021   1.04878374  -0.55588687]
161,[ 1.07730082e+01  1.06659128e+02  4.11356446e-02 -1.18970556e+00],[ 1.07732774e+01  1.06659805e+02  4.08418913e-02 -1.18933923e+00]
162,[ 10.7731478  106.65923026   0.60879422  -1.05542569],[ 10.77345128 106.65905256   0.60804517  -1.05507768]
163,[ 10.77320381 106.65917682   1.11765761   0.39595325],[ 10.77281696 106.65895684   1.11760202   0.39606295]
164,[1.07731014e+01 1.06659067e+02 1.16259501e+00 3.28274171e-02],[1.07729466e+01 1.06658660e+02 1.16268448e+00 3.29540329e-02]
165,[ 10.77282688 106.65912222   0.51309329  -1.07990925],[ 10.77311027 106.65878225   0.51291367  -1.07975002]
166,[ 10.77285861 106.65894611  -0.76153081   0.76467134],[ 10.77250668 106.65914946  -0.76159983   0.76494322]
167,[ 10.77292804 106.65875743   0.98914879  -0.47979859],[ 10.77270329 106.65885169   0.98908614  -0.47946678]
168,[ 10.77300041 106.65898292  -0.44391893   1.11553963],[ 10.77270941 106.65905454  -0.44436371   1.11519515]
169,[ 10.77285162 106.658906    -1.20030452  -0.15043493],[ 10.77315699 106.65861303  -1.20047171  -0.15025903]
170,[ 10.77262209 106.65890522   0.64344633  -1.08309733],[ 10.77278896 106.65932814   0.64375472  -1.08325825]
171,[ 10.77298462 106.65877811  -0.74643138   0.96447024],[ 10.772448   106.65875553  -0.7462776    0.96481614]
172,[ 10.77254616 106.65873799   1.08248083  -0.55836758],[ 10.77265251 106.65871994   1.08261957  -0.55866519]
173,[ 1.07725626e+01  1.06658873e+02 -3.23166900e-02 -1.33394281e+00],[ 1.07725237e+01  1.06658873e+02 -3.27911377e-02 -1.33429620e+00]
174,[ 10.77237557 106.65874423  -1.16474484   0.324342  ],[ 10.77273349 106.65816393  -1.16437683   0.32434032]
175,[ 10.77245403 106.65871657  -1.09688606  -0.2354256 ],[ 10.77276512 106.65955366  -1.09651843  -0.23544042]
176,[ 10.77246845 106.65868239   1.03761476  -0.61262442],[ 10.77268079 106.65832816   1.03786833  -0.61297599]
177,[ 10.77222187 106.658443     1.09855469  -0.39480002],[ 10.77261791 106.65895849   1.09936776  -0.39466103]
178,[ 10.77237592 106.65840083   0.81235398  -0.85004121],[ 10.77223499 106.65821188   0.81213371  -0.84974277]
179,[ 1.07724046e+01  1.06658463e+02 -8.85169542e-02 -1.33599873e+00],[ 1.07722622e+01  1.06658526e+02 -8.82914665e-02 -1.33596865e+00]
180,[ 10.77229481 106.65854342  -0.74342513  -1.1560269 ],[ 10.77286407 106.65833093  -0.74291138  -1.15633357]
181,[ 10.77227365 106.65836875  -1.03212169   0.74029937],[ 10.77243184 106.65827769  -1.03213094   0.74035218]
182,[1.07721649e+01 1.06658411e+02 9.74700849e-02 1.27627761e+00],[1.07721091e+01 1.06658126e+02 9.74734658e-02 1.27601067e+00]
183,[ 10.77217162 106.65829518  -1.13305151   0.62745854],[ 10.77275037 106.65813991  -1.13343808   0.62717258]
184,[ 10.77208031 106.65811588   0.35515295  -1.17007285],[ 10.77275388 106.6581767    0.3551891   -1.17012155]
185,[ 10.77211546 106.6583513   -1.10746      0.29181972],[ 10.77214055 106.6582356   -1.10721019   0.29225541]
186,[ 10.77206197 106.65792396  -0.72132273   1.00629066],[ 10.77210256 106.65891163  -0.72117663   1.00588721]
187,[ 10.77207464 106.6578884    0.75918829  -1.00986167],[ 10.77265294 106.65814614   0.75947312  -1.0095683 ]
188,[ 10.77195944 106.6581027    0.46271903   1.18622374],[ 10.77221114 106.65785241   0.46245028   1.18593782]
189,[ 10.77195418 106.65784911  -0.81947355   1.035565  ],[ 10.77161887 106.65781051  -0.8200348    1.03566113]
190,[ 1.07720157e+01  1.06657923e+02  1.29922493e+00 -3.54719024e-02],[ 1.07717921e+01  1.06657714e+02  1.29939088e+00 -3.53460869e-02]
191,[ 10.77208608 106.65764891   1.06051759   0.26821297],[ 10.77168385 106.65763279   1.06077665   0.26807054]
192,[ 10.77177114 106.65764129   0.9121969    0.13291471],[ 10.77184287 106.65805346   0.91236082   0.13257275]
193,[ 10.77186389 106.65788301   0.58026066   0.65586612],[ 10.77121852 106.65747018   0.58066489   0.65563344]
